what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319920509576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319920518976
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1319920518996
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319920522480
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319920523555
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319920524895
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319920525016
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1319920527490
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319920529878
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1319920530148
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319920532738
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1319920532768
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319920533029
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1319920533679
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319920533869
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319920533904
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319920537700
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319920540740
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319920552170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319920559760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319925685472
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319926213852
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319926240618
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319926304058
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319926308278
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319926966709
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319926968849
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319927020990
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319927027970
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319927030390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319927106350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319927146373
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319927195401
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319927198731
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928303088
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928304868
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928305018
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319928306348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928317788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1319928328588
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928342902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928348865
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319928355235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319928378698
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1319928385746
