what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319904331165
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319904331200
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319904340026
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319904348280
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904357137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904360567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904360617
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904362607
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904363797
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319904375167
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319904397594
opened,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319904397874
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319904397934
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319904403794
closed,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319904403794
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319905273015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905308723
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905396347
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319905423016
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319905423016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905425676
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905501736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905533143
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905665123
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319905674284
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319905680531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905681021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905681051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905681061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905681071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905681081
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905689167
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319905700657
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319905700657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905703017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905719177
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905772626
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905868526
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905903683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319905903884
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319905903884
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319905926814
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319905927404
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319905935551
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319906034285
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319906034285
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319906119630
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906129391
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319906147511
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906150661
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906212650
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906266024
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906272864
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906292688
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319906292698
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319906298308
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319906298378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906300618
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906304458
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319906304468
opened,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319906304688
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319906304778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906307138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906310448
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319906310468
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319906310668
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319906310728
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906313848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906742691
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319906744761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906748971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906750781
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1319906750921
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906756925
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906777539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906793463
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906795353
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906806073
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319906826114
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906840134
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906841744
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319906841744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319906846674
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911476677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911482857
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911485877
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911495189
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319911495509
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319911501859
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319911505709
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911519329
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319911520489
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911520489
closed,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319911521489
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1319911523229
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319911523229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911524709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911532069
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911537309
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1319911545419
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911547109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911556939
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911561051
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319911561061
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1319911561061
error,log,,,"test does not exist",1319911561121
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911580741
error,log,,,"Unable to create project from archetype [org.apache.maven.archetypes:maven-archetype-webapp:RELEASE]",1319911639891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911639891
error,log,,,"Unable to create project from archetype [org.apache.maven.archetypes:maven-archetype-webapp:RELEASE]",1319911639891
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1319911639901
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911639961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911651801
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911660781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911660881
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319911664061
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911665581
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911668551
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911680411
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911784491
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1319911784516
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911789553
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911803613
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911803673
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911806833
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911813643
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911813683
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1319911816643
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1319911817513
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911819073
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1319911820493
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1319911822593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1319911836363
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911852423
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911861063
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911874403
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319911874423
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319911874443
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319911877293
