what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320196713205
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320196715764
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenamePomAction",1320196719976
executed,command,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.actions.LifeCycleInstall.run",1320196725420
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320196741365
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1320196837368
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320196841049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320196844185
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320196921998
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1320196922013
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320196931124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320196940000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197026880
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320197033712
opened,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1320197034789
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1320197034976
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1320197038049
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1320197038112
error,log,,,"FileBufferModelManager was asked to revert a document but was not being managed",1320197038205
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197041466
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1320197041497
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197046723
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320197346103
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197359581
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197436794
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320197436810
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenamePomAction",1320197437574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197450834
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197496464
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197509209
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1320197510504
